"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Mak16",1203.32216465649,0.356423857031103,0.0594882941133397,2.27158833799903e-10,2.54323244341809e-08
"Klk6",507.901984552873,-0.941025022322513,0.16119297100314,2.36482049482001e-10,2.63194725958991e-08
"Clstn2",1981.33029130333,-0.49504079263065,0.0836208782121686,2.40203448604221e-10,2.65763921458635e-08
"Glcci1",554.714859686187,-0.474131137771976,0.080200814141661,2.61160503727368e-10,2.87261281556028e-08
"Rsu1",689.831697049535,-0.381297111709179,0.0641862132616539,2.81523180237544e-10,3.07858691691161e-08
"Sqstm1",10545.4540688619,0.294528192628718,0.0492464734338643,3.24358287299253e-10,3.52650579526685e-08
"Mmp3",11.3835225332881,8.28811823595936,2.73290128906626,3.67019715227034e-10,3.96739874925591e-08
"Slc3a2",4682.85419186327,0.292848058417699,0.0493366837539486,4.2307138127861e-10,4.5471712059825e-08
"Sdc4",3082.08461779884,0.621236591062069,0.107344752867456,4.48695056105969e-10,4.79517347175976e-08
"Ccdc13",103.760106053533,-1.05280178975989,0.183313410963752,4.76967702698055e-10,5.06852289268232e-08
"2900052N01Rik",49.2508634510194,1.48335372738227,0.258645418553995,4.9229020571091e-10,5.13380503284307e-08
"Col9a2",412.185104331403,-0.746378310114353,0.129823700351257,4.92769359448421e-10,5.13380503284307e-08
"Egr1",1362.74296033425,0.68489609362302,0.118897848433414,4.96758209355861e-10,5.13380503284307e-08
"Gltp",953.150890166667,-0.449685302864845,0.0773290906126056,4.95712078374509e-10,5.13380503284307e-08
"Sez6l",7235.08911795934,0.389996736789921,0.0667154616273608,4.86011506471793e-10,5.13380503284307e-08
"Gpc2",129.055095995047,-0.770627004746743,0.134133149198824,5.19110354587058e-10,5.33548997782949e-08
"Fgfr3",3247.50787059634,0.515613916789708,0.0891421576502087,5.26823380664488e-10,5.38533748202084e-08
"Nab2",2241.43783985489,0.553131551554918,0.0958474914839641,5.33238386423793e-10,5.42144908661899e-08
"Ptprd",7884.01564980562,-0.310092601465924,0.0529427298401147,5.90671860496818e-10,5.97308979789497e-08
"Gpc6",788.071616531111,0.444316709261801,0.076772794133419,5.95029300641322e-10,5.98497653249339e-08
"Tm7sf2",758.770603554732,-0.450613599550476,0.077930893656471,5.99968310618329e-10,6.00255529490433e-08
"Siglech",103.314421767164,-0.903691750776973,0.158620057811333,6.35283398683676e-10,6.32224626764088e-08
"Gm49284",321.471919959478,-0.523098927488009,0.0910237560789089,6.49993286663727e-10,6.43459143624107e-08
"Slc25a34",473.072391712748,0.617892210423354,0.108181350499736,7.02439700084021e-10,6.91737608318343e-08
"Ugt8a",1589.17158095688,-1.05202465291653,0.186040148609989,7.5667325653108e-10,7.41263920942348e-08
"Gnb4",1415.96017824857,-0.328445834154037,0.0566526348742179,8.1793975124225e-10,7.97131024928264e-08
"Aqp6",1123.40624451591,0.38050509513885,0.0660624479527187,8.43826538225253e-10,8.181202761587e-08
"Slc6a17",14841.2473625215,0.536057683842831,0.0949484667764764,8.76620725477194e-10,8.45556883359002e-08
"Ucp2",1965.2959457536,1.17913768271256,0.209671635638746,9.04782296710785e-10,8.68267868307814e-08
"Hspa1a",397.548783810271,0.916426443492666,0.162836635703823,9.40085285869417e-10,8.97566707711567e-08
"4930447F24Rik",426.096882482186,0.922389824059818,0.163893019632177,9.46934294616623e-10,8.99539754921417e-08
"Gm20743",204.812697129815,0.672030350874237,0.118989647829091,9.6975795811438e-10,9.16591830862983e-08
"S1pr1",5900.26481675241,-0.311612148855212,0.0543243663789994,1.01703994841016e-09,9.56475219482333e-08
"Sat1",2742.250068241,0.395310110606315,0.0692336612568485,1.07695672099213e-09,1.00778502314134e-07
"Ift140",957.917507290664,-0.373709692446011,0.0653662318779183,1.09681961336196e-09,1.01127843665319e-07
"Nicn1",2690.45082213148,-0.267770423083862,0.0461335375234515,1.09155628596155e-09,1.01127843665319e-07
"Pyurf",885.204511459877,-0.439368052011648,0.0772916766144794,1.086414904715e-09,1.01127843665319e-07
"Ninj2",27.3525269546718,-1.78666613446687,0.31912117803871,1.12139061137459e-09,1.02389495190993e-07
"Ttll3",2099.99890405989,-0.453181100698474,0.0798647680670242,1.11762461198316e-09,1.02389495190993e-07
"Sox1ot",151.121688255433,-0.724629119168104,0.129314514702972,1.20587107241978e-09,1.09571154594897e-07
"Ddx21",1396.30285642442,0.324401682900655,0.0566548098617121,1.2803711965926e-09,1.15781258830338e-07
"Septin4",17619.5170997464,-0.331646941637017,0.0580375162804615,1.30552595432569e-09,1.17491089353646e-07
"Capn2",4446.3040764061,0.276427838420012,0.0479608322890934,1.31406926853492e-09,1.17696804151778e-07
"Bche",182.98621738687,-0.889755857557675,0.159745160669152,1.33737417491964e-09,1.19216449554803e-07
"Gpr37",1857.81186943725,-0.445323604948746,0.0789975913312927,1.41174803188909e-09,1.25252682697179e-07
"Chd9",17297.2572684867,0.658749537601114,0.117936312312219,1.43633239948396e-09,1.26835568553492e-07
"Apoc1",85.4233629594219,0.995252437461523,0.17976975977554,1.59283752740587e-09,1.39475021141052e-07
"Gmeb2",1532.96555491915,0.307367710407321,0.0539021458519916,1.59429685498039e-09,1.39475021141052e-07
